peptide_seq,start_res,end_res,time,D_inc,score
AAMNS,1,5,10,0.6495359062843603,1.0
AAMNS,1,5,30,1.0798163689602105,1.0
AAMNS,1,5,90,1.3816782726525432,1.0
AAMNS,1,5,600,2.523973132829351,1.0
AAMNS,1,5,3600,2.999576635881694,1.0
AMNS,2,5,10,0.046320719800361815,1.0
AMNS,2,5,30,0.1386229029178247,1.0
AMNS,2,5,90,0.38191493794867426,1.0
AMNS,2,5,600,1.5239755574151785,1.0
AMNS,2,5,3600,1.9995790604675219,1.0
AMNSTQR,2,8,10,0.05045627632333223,1.0
AMNSTQR,2,8,30,0.1512484194879828,1.0
AMNSTQR,2,8,90,0.41872382707456574,1.0
AMNSTQR,2,8,600,1.749370137965206,1.0
AMNSTQR,2,8,3600,2.8008399523508944,1.0
NSTQR,4,8,10,0.004135556522970417,1.0
NSTQR,4,8,30,0.012625516570158073,1.0
NSTQR,4,8,90,0.036808889125891434,1.0
NSTQR,4,8,600,0.2253945805500274,1.0
NSTQR,4,8,3600,0.8012608918833722,1.0
NSTQRLL,4,10,10,0.19334112595068784,1.0
NSTQRLL,4,10,30,0.4881916608605875,1.0
NSTQRLL,4,10,90,0.8957103751209261,1.0
NSTQRLL,4,10,600,1.2977556726784443,1.0
NSTQRLL,4,10,3600,2.1597123385893315,1.0
TQRLL,6,10,10,0.1892503556353222,1.0
TQRLL,6,10,30,0.47570350097446834,1.0
TQRLL,6,10,90,0.8593067157323455,1.0
TQRLL,6,10,600,1.075103343161984,1.0
TQRLL,6,10,3600,1.3745468908458918,1.0
